Português,Español,IPA
animais,animales,ɐniˈmajʃ
ponto,punto,põtu
mãe,madre,mɐ̃j
mundo,mundo,ˈmũ.du
perto,cerca,ˈpeɾtu
construir,construir,kõʃˈtɾu.iʁ
auto,auto,ˈaw.tu
terra,tierra,ˈtɛʁɐ
pai,padre,ˈpaj
qualquer,cualquier,ˈkwaw̃.qujɛɾ
novo,nuevo,ˈnɔvu
trabalho,trabajo,tɾaˈbaʎu
parte,parte,ˈpaʁtʃi
tomar,tomar,toˈmaʁ
obter,obtener,obˈteʁ
lugar,lugar,luˈɡaʁ
feito,hecho,ˈfejtu
viver,vivir,viˈveʁ
onde,donde,ˈɔ̃dʒi
depois,después,diˈpojʃ
de volta,de vuelta,di ˈvɔwtɐ
pouco,poco,ˈpoku
apenas,sólo,ɐˈpe.nɐʃ
rodada,ronda,hoˈdɐdɐ
homem,hombre,ˈɔmẽj
ano,año,ˈɐ̃w̃
veio,vino,ˈveju
exposição,exposición,ɛkspoziˈsɐ̃w̃
cada,cada,ˈka.dɐ
bom,bueno,ˈbõ
me,me,mi
dar,dar,daʁ
nossa,nuestra,ˈnɔsɐ
sob,sobre,soʊ̯b
nome,nombre,ˈnɔmi
muito,mucho,ˈmujtu
através,a través de,ɐtɾaˈvɛs dʒi
justo,justo,ˈʒuʃtu
forma,forma,ˈfɔʁmɐ
sentença,oración,sẽˈtẽsɐ
grande,grande,ˈɡɾɐ̃dʒi
acho que,creo que,aˈʃu ki
dizer,decir,diˈzeʁ
ajudar,ayudar,ɐʒuˈdaʁ
baixo,bajo,ˈbajʃu
linha,línea,ˈli.ɲɐ
diferir,diferir,di.feˈɾiʁ
vez,vez,ˈvej
causa,causa,ˈkawzɐ
muito,mucho,ˈmujtu
significar,significar,siɡnifiˈkaʁ
antes,antes,ˈɐ̃tʃiʃ
mudança,cambio,muˈdɐ̃.ʃɐ
direito,derecho,dʒiˈɾej.tu
menino,niño,meˈninu
velho,viejo,ˈvɛʎu
também,también,tɐ̃ˈbẽj
mesmo,mismo,ˈmɛzmu
ela,ella,ˈɛlɐ
tudo,todo,ˈtu.du
lá,allí,lɐ
quando,cuando,ˈkwɐ̃.du
up,arriba,ˈapɪ
usar,usar,uˈzaʁ
seu,su,sɛw
maneira,manera,maˈne.iɾɐ
sobre,sobre,ˈsɔ.bɾi
muitos,muchos,ˈmujtus
depois,después,diˈpojʃ
eles,ellos,ˈɛ.luʃ
escrever,escribir,eskɾiˈveʁ
faria,haría,faˈɾi.ɐ
como,cómo,ˈkõ.mu
assim,así,aˈsĩ
estes,estos,ˈɛʃtʃiʃ
seu,su,sɛw
longo,largo,ˈlõɡu
fazer,hacer,faˈzeʁ
coisa,cosa,ˈko.zɐ
veja,ver,ˈveʒɐ
ele,él,ɛl
dois,dos,ˈdojs
tem,tiene,tẽj
olhar,mirar,owˈʎaʁ
mais,más,majs
dia,día,ˈdi.ɐ
podería,podría,pudɛˈɾi.ɐ
ir,ir,ir
vir,venir,vir
fez,hizo,fez
número,número,ˈnũ.mɛ.ɾu
som,sonido,sõ
não,no,nãw̃
mais,más,majs
pessoas,personas,peˈsow̃.ɐʃ
meu,mi,me.w̃
sobre,sobre,ˈsɔ.bɾi
sei,sé,sej
água,agua,ˈa.ɡwɐ
que,que,ke
chamada,llamada,ʃaˈma.dɐ
primeiro,primero,pɾiˈmej.ɾu
que,que,ke
pode,puede,ˈpɔ.dʒi
para baixo,abajo,paɾɐ ˈbajʃu
lado,lado,ˈladu
sido,sido,ˈsi.du
agora,ahora,ɐˈɡɔ.ɾɐ
encontrar,encontrar,ẽ.kõ̞̃ˈtɾaʁ
cabeça,cabeza,kaˈbɛsɐ
ficar,quedarse,fiˈkaɾ
próprio,propio,ˈpɾɔpɾju
página,página,ˈpaʒinɐ
deveria,debería,deveˈɾi.ɐ
país,país,pajʃ
encontrado,encontrado,ẽkõ̞̃ˈtɾadu
resposta,respuesta,ʁeʃˈpɔʃ.tɐ
escola,escuela,eʃˈkwɛ.lɐ
crescer,crecer,kɾɛˈseʁ
estudo,estudio,esˈtu.du
ainda,aún,ˈaj̃.dɐ
aprender,aprender,ɐˈpɾẽdɛʁ
planta,planta,ˈplɐ̃tɐ
cobertura,cobertura,ko.beɾˈtu.ɾɐ
alimentos,alimentos,ɐliˈmẽ.tus
sol,sol,sɔw̃
quatro,cuatro,ˈkwatɾu
entre,entre,ẽˈtɾi
estado,estado,esˈta.du
manter,mantener,mɐ̃ˈte.neʁ
olho,ojo,ˈo.ʎu
nunca,nunca,ˈnũ.kɐ
último,último,ˈul.timu
deixar,dejar,dɛjˈʒaʁ
pensava,pensaba,pẽnˈza.vɐ
cidade,ciudad,sjuˈdadʒi
árvore,árbol,ˈaʁ.vɔɾi
atravessar,atravesar,atɾaviˈsaʁ
fazenda,finca,faˈzẽ.dɐ
difícil,difícil,diˈfisil
começo,comienzo,koˈmẽsu
poder,poder,poˈdeʁ
história,historia,isˈtoɾi.ɐ
serra,sierra,ˈse.ʁɐ
longe,lejos,ˈlõʒʃi
mar,mar,ˈmaʁ
desenhar,dibujar,dɛzẽˈʁaʁ
esquerda,izquierda,eʃˈkeɾ.dɐ
tarde,tarde,ˈtaʁdʒi
run,correr,ʁũ
não,no,nãw̃
enquanto,mientras,ẽˈkwɐ̃tu
imprensa,prensa,ĩˈpɾẽ.zɐ
perto,cerca,ˈpeɾtu
noite,noche,ˈnɔitʃi
reais,reales,ʁeˈajs
vida,vida,ˈvi.dɐ
poucos,pocos,ˈpow̃.kus
norte,norte,ˈnɔɾ.tʃi
livro,libro,ˈlivɾu
carregam,llevan,kaʁɛˈɡɐ̃w̃
tomou,tomó,toˈmu
ciência,ciencia,ˈsi.ẽ.si.ɐ
comer,comer,kɔˈmeʁ
quarto,cuarto,ˈkwɐɾ.tu
amigo,amigo,ɐˈmi.ɡu
começou,comenzó,kõˈmẽsu
ideia,idea,iˈdejɐ
peixe,pez,ˈpejʃi
montanha,montaña,mõˈtɐɲɐ
Pare,pare,ˈpaɾi
uma vez,una vez,ˈu.nɐ vẽjs
base,base,ˈba.zɪ
ouvir,escuchar,oˈviʁ
cavalo,caballo,kaˈvaʎu
corte,corte,ˈkɔʁ.tʃi
certo,correcto,sɛʁˈtu
assista,mira,ɐˈsiʃ.tɐ
cor,color,kɔʁ
rosto,rostro,ˈʁɔʃ.tɾu
madeira,madera,mɐˈdɐj.ɾɐ
principal,principal,pɾĩsiˈpaw̃
aberto,abierto,ɐˈbɛɾ.tu
parecem,parecen,paˈɾɛsẽj
juntos,juntos,ˈʒũtuʃ
próximo,próximo,ˈpɾɔk.si.mu
branco,blanco,ˈbɾɐ̃ku
crianças,niños,ˈkɾi.ɐ̃sɐʃ
início,inicio,iˈnisju
tem,tiene,tẽj
andar,andar,ɐ̃ˈdaʁ
exemplo,ejemplo,eˈʒẽplu
facilidade,facilidad,fasiliˈdadʒi
papel,papel,paˈpɛw̃
grupo,grupo,ˈɡɾupu
sempre,siempre,ˈsẽpɾi
música,música,ˈmuzikɐ
aqueles,aquellos,akˈɛʎus
tanto,tanto,ˈtɐ̃tu
marca,marca,ˈmaʁkɐ
muitas vezes,muchas veces,mujtɐs ˈvesis
carta,carta,ˈkaʁ.tɐ
até,hasta,aˈte
milha,milla,ˈmiʎɐ
rio,rio,ˈʁi.u
carro,coche,ˈkaʁu
pés,pies,ˈpɛs
cuidados,cuidados,kujˈdadus
segunda,segunda,sɛˈɡũ.dɐ
suficiente,suficiente,su.fiˈsjẽ.tʃi
plain,plano,ˈplɛ̃.u
menina,niña,mɛˈninɐ
habitual,habitual,abiˈtʃwal
jovem,joven,ʒoˈvẽj
pronto,pronto,ˈpɾõ.tu
acima,encima,eˈsi.mɐ
sempre,siempre,ˈsẽpɾi
vermelho,rojo,veʁˈmɛʎu
lista,lista,ˈlistɐ
embora,aunque,ẽˈboɾɐ
sentir,sentir,sẽˈtiɾ
Discussão,discusión,dis.kuˈsɐ̃w̃
pássaro,pájaro,ˈpasɐ.ɾu
em breve,pronto,ẽ ˈbɾɛvi
corpo,cuerpo,ˈkɔɾpu
cão,perro,ˈkɐ̃w̃
família,familia,faˈmiljɐ
direto,directo,diˈɾɛtu
representar,representar,ʁɛpɾi.zẽˈtaʁ
deixar,dejar,dɛjˈʒaʁ
canção,canción,kanˈsɐ̃w̃
medir,medir,meˈdiʁ
porta,puerta,ˈpɔɾ.tɐ
produto,producto,pɾuˈdu.tu
preto,negro,ˈpɾetu
curta,corta,ˈkuʁ.tɐ
numeral,numeral,nuˈmɛɾɐw̃
classe,clase,ˈklasi
vento,viento,ˈvẽtu
pergunta,pregunta,peˈɾĩtɐ
acontecer,ocurrir,ɐkõ.tɛˈseʁ
completo,completo,kõˈplɛtu
navio,barco,ˈna.vju
área,área,ˈa.ɾjɐ
metade,mitad,miˈtadʒi
rocha,roca,ˈʁɔʃɐ
ordem,orden,oɾˈdẽj
fogo,fuego,ˈfo.ɡu
sul,sur,suʎ
problema,problema,pɾuˈblẽ.mɐ
peça,parte,ˈpɛsɐ
disse,dijo,ˈdi.zi
sabia,sabía,saˈbi.ɐ
passar,pasar,paˈsaʁ
desde,desde,ˈdeʒi
topo,cima,ˈtopu
inteiro,entero,ĩˈtɐj.ɾu
rei,rei,ʁej
rua,calle,ˈʁu.ɐ
polegada,pulgada,po.lɛˈɡa.dɐ
multiplicar,multiplicar,multipliˈkaʁ
nada,nada,ˈna.dɐ
curso,curso,ˈkuʁsu
ficar,quedarse,fiˈkaɾ
roda,rueda,ˈʁɔdɐ
completo,completo,kõˈplɛtu
força,fuerza,ˈfɔɾsɐ
azul,azul,aˈzul
objeto,objeto,obˈʒɛtu
decidir,decidir,de.siˈdiʁ
superfície,superficie,supeɾfiˈsi.sjɐ
profunda,profunda,pɾoˈfũ.dɐ
lua,luna,ˈlu.ɐ
ilha,isla,ˈiʎɐ
pé,pie,ˈpe
sistema,sistema,ˈsistẽ.mɐ
ocupado,ocupado,okupˈadu
teste,prueba,ˈtɛsti
registro,registro,ʁɛʒiˈstɾu
barco,barco,ˈbaʁku
comum,común,kɔˈmũ
ouro,oro,ˈoɾu
possível,posible,poˈsivɛw̃
avião,avión,aˈvĩ.w̃
lugar,lugar,luˈɡaʁ
seca,seca,ˈsɛkɐ
pergunto,pregunto,peˈɡũ.tu
risada,risa,ɾiˈza.dɐ
mil,mil,mil
atrás,detrás,dɛˈtɾɐs
ran,correr,ʁã
verifique,verificar,vɛɾiˈfi.ki
jogo,juego,ˈʒoɡu
forma,forma,ˈfɔɾmɐ
equiparar,comparar,iki.paˈɾaʁ
quente,caliente,ˈkẽ.tʃi
senhorita,señorita,seɲoˈɾi.tɐ
trouxe,trajo,tɾoʃ
calor,calor,kaˈloɾ
neve,nieve,ˈnɛvi
pneu,neumático,ˈpneu
trazer,traer,tɾa.zeʁ
sim,sí,sĩ
distante,lejano,diʃˈtã.tʃi
preencher,rellenar,pɾẽʃˈʃeʁ
leste,este,ˈlɛʃ.tʃi
pintar,pintar,pĩˈtaʁ
linguagem,lenguaje,lĩɡwɐˈʒẽj
entre,entre,ẽˈtɾi
unidade,unidad,uniˈdadʒi
poder,poder,poˈdeʁ
cidade,ciudad,sjuˈdadʒi
multa,multa,ˈmũ.tɐ
certo,correcto,sɛʁˈtu
voar,volar,voˈlaʁ
cair,caer,kaˈiʁ
conduzir,conducir,kõ.duˈziʁ
grito,grito,ˈɡɾitu
escuro,oscuro,eʃˈkuɾu
máquina,máquina,ˈmaʃinɐ
nota,nota,ˈnɔtɐ
esperar,esperar,ɛʃpeˈɾaʁ
plano,plano,ˈplɐnu
figura,figura,fiˈɡuɾɐ
estrela,estrella,ɛsˈtɾɛlɐ
caixa,caja,ˈkaʃɐ
substantivo,sustantivo,suʃtɐ̃ˈti.vu
campo,campo,ˈkãpu
resto,resto,ˈʁɛstu
correto,correcto,koˈrɛtu
capaz,capaz,kaˈpaz
libra,libra,ˈlibɾɐ
done,hecho,ˈdɔni
beleza,belleza,beˈlezɐ
unidade,unidad,uniˈdadʒi
se,si,si
contêm,contener,kõˈtẽj
frente,frente,ˈfɾẽtʃi
ensinar,enseñar,ẽsiˈɲaʁ
semana,semana,ˈsemɐnɐ
finais,finales,fiˈnajs
deu,dio,ˈdew
verde,verde,ˈveɾdʒi
ó,o,ɔ
rápida,rápida,ˈɾapidɐ
desenvolver,desarrollar,dezẽvolveɾ
oceano,océano,oˈse.ɐ.nu
quente,caliente,ˈkẽ.tʃi
livre,libre,ˈlivɾi
minuto,minuto,miˈnutu
forte,forte,ˈfɔɾtʃi
especial,especial,espeˈsi.aw̃
mente,mente,ˈmẽtʃi
atrás,atrás,ɐˈtɾaz
claro,claro,ˈklaɾu
cauda,cola,kaw̃ˈda
produzir,producir,pɾu.duˈziʁ
fato,hecho,ˈfatu
espaço,espacio,ɛsˈpasu
ouvido,oido,oˈvi.du
melhor,mejor,ˈmeʎoʁ
horas,horas,ˈoɾɐs
melhor,mejor,ˈmeʎoʁ
verdade,verdad,veʁˈdadʒi
durante,durante,duˈɾã.tʃi
cem,cien,sẽ
cinco,cinco,ˈsĩ.ku
lembre-se,recuerda,lẽˈbɾi si
passo,paso,ˈpasu
cedo,temprano,ˈseðu
segurar,sostener,seɡuˈɾaʁ
oeste,oeste,uˈɛstʃi
solo,suelo,ˈsɔlu
juros,interés,ˈʒuɾus
alcançar,alcanzar,awˈkã.saʁ
rápido,rápido,ˈɾapidu
verbo,verbo,ˈvɛʁbu
cantar,cantar,kɐ̃ˈtaʁ
ouça,escucha,ˈowsɐ
seis,seis,ˈsejʃ
mesa,mesa,ˈmezɐ
viagens,viajes,viˈajẽj
menos,menos,ˈmẽ.nus
manhã,mañana,mɐˈɲã
dez,diez,ˈdez
simples,simple,ˈsĩplis
vários,varios,ˈvaɾjus
vogal,vocal,voˈɡaw̃
direção,dirección,diɾeˈsɐ̃w̃
guerra,guerra,ˈɡɛʁɐ
lay,poner,ˈlaj
contra,contra,ˈkõ.tɾɐ
padrão,patrón,paˈdɾãw̃
lento,lento,ˈlẽtu
centro,centro,ˈsẽtɾu
amo,amo,ˈɐmu
pessoa,persona,peˈso.nɐ
dinheiro,dinero,diˈɲejɾu
servir,servir,seɾˈviʁ
aparecer,aparecer,apɐɾeˈseʁ
estrada,camino,esˈtɾadɐ
mapa,mapa,ˈmapɐ
chuva,lluvia,ˈʃu.vɐ
regra,regla,ˈʁɛɡɾɐ
governar,gobernar,ɡʊvɛɾˈnaʁ
puxe,tirar,ˈpuʃi
frio,frío,ˈfɾi.u
aviso,advertencia,ɐˈvizu
voz,voz,ˈvɔz
energia,energía,ẽneɾˈʒi.ɐ
caça,caza,ˈka.sɐ
provável,probable,pɾuˈvavɛw̃
cama,cama,ˈkɐmɐ
irmão,hermano,iɾˈmɐ̃w̃
ovo,huevo,ˈɔvu
passeio,paseo,paˈseju
celular,móvil,seˈlu.lɐɾ
acreditar,creer,akɾediˈtaʁ
talvez,tal vez,taw ˈbeis
escolher,elegir,eskoˈʎeʁ
súbita,súbita,ˈsubitu
contar,contar,kõˈtaʁ
quadrado,cuadrado,kwaˈdɾadu
razão,razón,ʁaˈzɐ̃w̃
comprimento,longitud,kõˈpɾimẽtu
representar,representar,ʁɛpɾi.zẽˈtaʁ
arte,arte,ˈaʁti
assunto,tema,ɐˈsũtu
região,región,ʁɛʒiˈɐ̃w̃
tamanho,tamaño,tɐˈmɐɲu
variar,variar,vaɾiˈaʁ
resolver,resolver,ʁɛzoɫˈveʁ
falar,hablar,faˈlaʁ
peso,peso,ˈpezu
geral,general,ʒeˈɾaw̃
gelo,hielo,ˈʒelu
assunto,tema,ɐˈsũtu
círculo,círculo,ˈsiɾkulu
par,par,ˈpaʁ
incluir,incluir,ĩkluˈiʁ
dividir,dividir,diviˈdiʁ
sílaba,sílaba,ˈsi.lɐ.bɐ
sentido,sentido,ˈsẽ.tidu
grande,grande,ˈɡɾãdʒi
bola,bola,ˈbɔlu
ainda,aún,ˈaj̃.dɐ
onda,onda,ˈõdɐ
cair,caer,kaˈiʁ
coração,corazón,koɾaˈsɐ̃w̃
am,soy,ɐ̃
presente,presente,pɾeˈzẽtʃi
pesado,pesado,peˈza.du
dança,baile,dãˈsa
motor,motor,moˈtoʁ
posição,posición,poziˈsɐ̃w̃
braço,brazo,ˈbɾazʊ
ampla,amplia,ɐ̃ˈpli.ɐ
vela,vela,ˈvɛlɐ
material de,material de,matẽɾiˈaɫ dʒi
fração,fracción,fɾaˈsɐ̃w̃
floresta,bosque,fluˈɾɛʃ.tɐ
sentar-se,sentarse,sẽˈtaɾ sẽ
corrida,corrida,koˈri.dɐ
janela,ventana,ʒaˈnɛlɐ
loja,tienda,ˈlɔʒɐ
verão,verano,veˈɾɐ̃w̃
trem,tren,tɾẽ
sono,sueño,ˈsonu
provar,probar,pɾuˈvaʁ
solitário,solitario,soliˈtaɾiu
perna,pierna,ˈpeɾnɐ
exercício,ejercicio,eɾsiˈsi.sju
parede,pared,paˈɾedʒi
captura,captura,kapˈtuɾɐ
mount,monte,mõj̃tʃi
desejo,deseo,diˈzeʒu
céu,cieLlo,sɛw̃
conselho,consejo,kõˈsɛʎu
alegria,alegría,aɫeˈɡɾi.ɐ
inverno,invierno,ĩˈveɾnu
sat,sentado,sat
escrito,escrito,esˈkɾitu
selvagem,salvaje,seɫˈvaʒi
instrumento,instrumento,ĩstɾuˈmẽtu
guardado,guardado,ɡwaɾˈdadu
vidro,vidrio,ˈvidɾu
grama,grama,ˈɡɾɐmɐ
vaca,vaca,ˈvakɐ
trabalho,trabajo,tɾaˈbalʊ
borda,borde,ˈbɔɾdɐ
sinal,señal,siˈnaɫ
visita,visita,viˈzitɐ
passado,pasado,paˈsadu
suave,suave,ˈswavʲ
diversão,diversión,diveɾsjũˈ
brilhante,brillante,bɾiˈʎãtʃi
gás,gas,ˈɡas
tempo,tiempo,ˈtẽpu
mês,mes,ˈmez
milhão,millón,miˈʎãw̃
suportar,soportar,su.poɾˈtaʁ
acabamento,acabado,akabaˈmẽtu
feliz,feliz,feˈliʒ
Esperamos,Esperamos,ẽspeˈɾɐmu
flor,flor,ˈfloʁ
vestir,vestir,vesˈtiʁ
estranho,extraño,eʃˈtɾɐ̃w̃
gone,ido,ˈɡoni
comércio,comercio,kõˈmeɾsiu
melodia,melodía,me.lo.ˈdi.ɐ
viagem,viaje,vi.ˈaʒẽj
escritório,oficina,eskɾi.ˈto.ɾi.u
receber,recibir,ʁe.se.ˈbeʁ
linha,línea,ˈli.ɲɐ
boca,boca,ˈbɔ.kɐ
exata,exacta,e.ˈza.tɐ
símbolo,símbolo,ˈsim.bu.lu
morrer,morir,mo.ˈʁeɾ
menos,menos,ˈme.nus
dificuldade,dificultad,di.si.kuɫ.ˈdadʒi
grito,grito,ˈɡɾi.tu
exceto,excepto,eʃ.ˈsep.tu
escreveu,escribió,e.skɾe.ˈve.u
semente,semilla,se.ˈmẽ.tʃi
tom,tono,ˈtõ
juntar-se,unirse,ʒũ.ˈtaʁ si
sugerir,sugerir,su.ʒe.ˈʁiʁ
limpo,limpio,ˈlĩ.pu
pausa,pausa,ˈpaw̃.zɐ
senhora,señora,se.ˈɲo.ɾɐ
quintal,patio,kĩ.ˈtaw̃
subir,subir,su.ˈbiʁ
ruim,malo,ˈʁwĩ
golpe,golpe,ˈɡoɫ.pi
óleo,aceite,ˈɔ.le.u
sangue,sangre,ˈsɐ̃.ɡɾi
tocar,tocar,to.ˈkaʁ
cresceu,creció,ˈkɾe.se.u
cento,ciento,ˈsẽ.tu
misturar,mezclar,miʃ.ti.ˈɡaʁ
equipe,equipo,e.ˈki.pʲi
fio,hilo,ˈfi.u
custo,costo,ˈkus.tu
perdido,perdido,peɾ.ˈdi.du
marrom,marrón,ma.ˈʁõ
desgaste,desgaste,dez.ˈɡastʃi
jardim,jardín,ʒɐɾ.ˈdʒĩ
igual,igual,i.ˈɡwal
enviado,enviado,ẽ.ˈvi.a.du
escolher,elegir,eʃ.ko.ˈʎeʁ
caiu,cae,ka.ˈju
caber,caber,ka.ˈbeʁ
fluir,fluir,flu.ˈiʁ
feira,feria,ˈfej.ɾɐ
banco,banco,ˈbɐ̃.ku
recolher,recolectar,ʁe.ko.ˈʎeʁ
salvar,salvar,saw.ˈvaʁ
controle,control,kõ.ˈtɾo.li
decimal,decimal,de.si.ˈmaw̃
ouvido,oido,o.ˈvi.du
mais,más,mais
bastante,bastante,bas.ˈtã.tʃi
quebrado,roto,kje.ˈbɾa.du
caso,cazo,ˈka.zu
meio,medio,ˈme.dʒu
matar,matar,ma.ˈtaʁ
filho,hijo,ˈfi.ʎu
lago,lago,ˈla.ɡu
momento,momento,moˈmẽ.tu
escala,escala,e.ˈska.lɐ
alto,alto,ˈaw̃.tu
primavera,primavera,pɾi.mɐ.ˈve.ɾɐ
observar,observar,õb.seɾ.ˈvaʁ
criança,niño,kɾi.ˈã.sɐ
reta,recta,ˈʁɛ.tɐ
consoante,consonante,kõ.so.ˈã.tʃi
nação,nación,na.ˈsɐ̃w̃
dicionário,diccionario,di.si.o.ˈna.ɾju
leite,leche,ˈlej.tʃi
velocidade,velocidad,ve.lu.si.ˈdadʒi
método,método,ˈme.to.du
órgão,órgano,ˈɔʁ.ɡɐ̃w̃
pagar,pagar,pa.ˈɡaʁ
idade,edad,i.ˈdadʒi
seção,sección,sɛ.ˈsɐ̃w̃
vestido,vestido,ves.ˈti.du
nuvem,nube,ˈnu.vẽj
surpresa,sorpresa,suɾ.ˈpɾe.zɐ
calma,calma,ˈkaw̃.mɐ
pedra,piedra,ˈpe.dɾɐ
minúsculo,pequeño,mi.ˈnuskulu
subida,subida,su.ˈbi.dɐ
legal,legal,le.ˈɡaw̃
projeto,proyecto,pɾu.ˈʒɛ.tʊ
pobre,pobre,ˈpɔ.bɾi
muito,mucho,ˈmwitu
experiência,experiencia,eʃ.pe.ɾi.ˈẽ.sjɐ
inferior,inferior,ĩ.fe.ˈɾjɔɾ
chave,llave,ˈʃavʲi
ferro,hierro,ˈfeʁu
único,único,ˈu.ni.ku
vara,vara,ˈva.ɾɐ
plana,plana,ˈpla.nɐ
vinte,veinte,ˈvĩ.tʃi
pele,piel,ˈpe.li
sorriso,sonrisa,so.ˈʁi.zu
vinco,arruga,ˈvĩ.ku
buraco,agujero,bu.ˈɾa.ku
saltar,saltar,ˈsal.taʁ
bebê,bebé,be.ˈbe
oito,ocho,ˈɔj.tu
aldeia,pueblo,aɫ.ˈde.jɐ
meet,encontrar,mit
raiz,raíz,ʁa.ˈiz
comprar,comprar,kõ.ˈpɾaɾ
levantar,levantar,le.vã.ˈtaʁ
resolver,resolver,ʁe.ˈzɔɫ.veʁ
de metal,de metal,di me.taw
se,si,sẽ
empurre,empujar,ẽ.ˈpuʁi
sete,siete,ˈse.tʃi
parágrafo,párrafo,pa.ˈɾa.fu
terceiro,tercero,teɾ.ˈse.ɾu
deve,debe,ˈde.vi
held,sostenido,hɛɫd
cabelo,pelo,ka.ˈbe.lu
descrever,describir,des.kɾi.ˈβiʁ
cozinheiro,cocinero,kozi.ˈne.ɾu
piso,piso,ˈpi.zu
ou,o,u
resultado,resultado,ʁe.zaɫ.ˈta.du
queimar,quemar,kej.ˈmaʁ
hill,colina,ˈʁiw
seguro,seguro,se.ˈɡu.ɾu
cat,gato,kaʧ
século,siglo,ˈse.ɡlu
considerar,considerar,kõ.si.de.ˈɾaʁ
tipo,tipo,ˈtipʷu
direito,derecho,di.ˈɾej.tu
bit,bit,bit
costa,costa,ˈkɔs.tɐ
cópia,copia,ˈkɔ.pi.ɐ
frase,frase,ˈfɾa.zi
silenciosa,silenciosa,si.ˈlẽ.si.ɔ.zɐ
alto,alto,ˈaw̃.tu
areia,arena,a.ˈɾej.ɐ
solo,suelo,ˈso.lu
rolo,rollo,ˈʁo.lu
temperatura,temperatura,tẽ.pe.ɾa.ˈtu.ɾɐ
dedo,dedo,ˈde.du
indústria,industria,ĩ.ˈdus.tɾi.ɐ
valor,valor,va.ˈloʁ
luta,lucha,ˈlu.tɐ
mentira,mentira,men.ˈti.ɾɐ
bater,golpear,ba.ˈteʁ
excitar,excitar,eʃ.si.ˈtaʁ
naturais,naturales,na.tu.ˈɾajs
vista,vista,ˈviʃ.tɐ
sentido,sentido,sẽ.ˈti.du
Capital,Capital,ka.pi.ˈtal
não vai,no va,nẽ waj
cadeira,silla,ka.ˈdej.ɾɐ
perigo,peligro,pe.ˈɾi.ɡu
frutas,frutas,ˈfɾu.tɐs
rico,rico,ˈʁi.ku
grossa,grosa,ˈɡɾo.zɐ
soldado,soldado,sõɫ.ˈda.du
processo,proceso,ˈpɾɔ.sɛ.su
operar,operar,o.pe.ˈɾaʁ
prática,práctica,ˈpɾa.ti.kɐ
separado,separado,se.pa.ˈɾa.du
difícil,difícil,di.ˈfi.siɫ
médico,médico,ˈme.di.ku
por favor,por favor,poɾ.fa.ˈvoʁ
proteger,proteger,pɾu.tʃɛ.ˈʁ
meio-dia,mediodía,ˌmejʊ.ˈði.ɐ
colheita,cosecha,ko.ˈʎe.i.tɐ
