Calls,Llamadas,kɔlz
Calm,Calma,kɑm
Came,Vino,keɪm
Camera,Cámara,ˈkæmərə
Can,Poder,kæn
Cannot,No puedo,ˈkænɒt
Captain,Capitán,ˈkæptən
Car,Auto,kɑr
Card,Tarjeta,kɑrd
Care,Cuidado,kɛr
Careful,Cuidadoso,ˈkɛrfl̩
Case,Caso,keɪs
Catch,Atrapar,kæʧ
Caught,Atrapado,kɔt
Cause,Causa,kɔz
Cause,Causa,kɔz
Cell,Célula,sɛl
Certain,Cierto,ˈsɜrtən
Certainly,Ciertamente,ˈsɜrtənli
Change,Cambiar,ʧeɪndʒ
Changed,Cambió,ʧeɪndʒd
Charge,Cargar,ʧɑrdʒ
Check,Controlar,ʧɛk
Chief,Jefe,ʧif
Child,Niño,ʧaɪld
Children,Niños,ˈʧɪldrən
Choice,Elección,ʧɔɪs
Christmas,Navidad,ˈkrɪsməs
Chuckles,Risas,ˈʧʌkəlz
Church,Iglesia,tʃɜrtʃ
City,Ciudad,ˈsɪti
Class,Clase,klæs
Clean,Limpio,klin
Clear,Claro,klɪr
Clothes,Ropa,kləʊðz
Club,Club,klʌb
Coffee,Café,ˈkɒfi
Cold,Frío,kold
Come,Ven,kʌm
Comes,Llega,kʌmz
Coming,Próximo,ˈkʌmɪŋ
Company,Compañía,ˈkʌmpəni
Completely,Completamente,kəmˈpliːtli
Control,Control,kənˈtroʊl
Cool,Frío,kul
Could,Podría,kʊd
Count,Contar,kaʊnt
Country,País,ˈkʌntri
Couple,Pareja,ˈkʌpl
Course,Curso,kɔrsu
Court,Corte,kɔrt
Cover,Cubrir,ˈkəvər
Crazy,Loco,ˈkreɪzi
Crime,Delito,kraɪm
Crying,Llanto,ˈkraɪɪŋ
Cut,Cortar,kʌt
Dad,Papá,dæd
Daddy,Papá,ˈdædi
Dance,Bailar,dæns
Dangerous,Peligroso,ˈdeɪndʒərəs
Dare,Atrevimiento,dɛr
Dark,Oscuro,dɑrk
Darling,Querida,ˈdɑrlɪŋ
Date,Fecha,deɪt
Daughter,Hija,ˈdɔtər
Day,Día,deɪ
Days,Días,deɪz
Dead,Muerto,dɛd
Deal,Trato,dil
Death,Muerte,dɛθ
Decided,Decidido,dɪˈsaɪdɪd
Deep,Profundo,diːp
Definitely,Definitivamente,ˈdɛfɪnətli
Detective,Detective,dɪˈtɛktɪv
Did,Hice,dɪd
Die,Morir,daɪ
Died,Fallecido,dad
Different,Diferente,ˈdɪfərənt
Difficult,Difícil,ˈdɪfɪkəlt
Dinner,Cena,ˈdɪnər
Do,Hacer,du
Doctor,Doctor,ˈdɑktər
Does,Hace,dəz
Dog,Perro,dɔɡ
Doing,Haciendo,ˈduɪŋ
Done,Hecho,dʌn
Door,Puerta,dɔr
Down,Abajo,daʊn
Dream,Sueño,drim
Dress,Vestido,drɛs
Drink,Beber,drɪŋk
Drive,Conducir,draɪv
Drop,Gota,drɑp
Drunk,Ebrio,drʌŋk
Dude,Dudar,dud
During,Durante,ˈdʊrɪŋ
Each,Cada,itʃ
Early,Temprano,ˈɜrli
Earth,Tierra,ɜrθ
Easy,Fácil,ˈizi
Eat,Comer,it
Eight,Ocho,eɪt
Either,Cualquiera,ˈaɪðər
Else,Demás,ɛls
End,Fin,ɛnd
English,Inglés,ˈɪŋɡlɪʃ
Enjoy,Disfrutar,ɛnˈhɔɪ
Enough,Suficiente,ɪˈnʌf
Entire,Completo,ɪnˈtaɪər
Especially,Especialmente,ɪsˈpɛʃəli
Even,Incluso,ˈivən
Evening,Noche,ˈivn̩ɪŋ
Ever,Alguna vez,ˈɛvər
Every,Cada,ˈɛvrɪ
Everybody,Todos,ˈɛvrɪˌbɒdi
Everyone,Todos,ˈɛvrɪwʌn
Everything,Todo,ˈɛvrɪˌθɪŋ
Evidence,Evidencia,ˈɛvɪdəns
Exactly,Exactamente,ɪɡˈzæktli
Except,Excepto,ɪkˈsɛpt
Excuse,Disculpar,ɪkˈskjuz
Expect,Esperar,ɪkˈspɛkt
Explain,Explicar,ɪkˈspleɪn
Eye,Ojo,aɪ
Eyes,Ojos,aɪz
Face,Cara,feɪs
Fact,Hecho,fækt
Fair,Justo,fɛr
Fall,Caer,fɔl
Family,Familia,ˈfæməli
Far,Lejos,fɑr
Fast,Rápido,fæst
Father,Padre,ˈfɑðər
Fault,Falla,fɔlt
Fear,Miedo,fɪr
Feel,Sentir,fil
Feeling,Sentimiento,ˈfilɪŋ
Feels,Siente,filz
Feet,Pies,fit
Fell,Cayó,fɛl
Felt,Sintió,fɛlt
Few,Pocos,fju
Fight,Luchar,faɪt
Fighting,Lucha,ˈfaɪtɪŋ
Figure,Cifra,ˈfɪɡjər
Film,Película,fɪlm
Finally,Finalmente,ˈfaɪnəli
Find,Encontrar,faɪnd
Fine,Bien,faɪn
Finish,Finalizar,ˈfɪnɪʃ
Finished,Finalizado,ˈfɪnɪʃt
Fire,Fuego,faɪr
First,Primero,fɜrst
Fish,Pez,fɪʃ
Five,Cinco,faɪv
Fix,Arreglar,fɪks
Floor,Piso,flɔr
Fly,Volar,flaɪ
Follow,Seguir,ˈfɒloʊ
Food,Alimento,fud
Fool,Tonto,fʊl
For,Para,fɔr
Force,Fuerza,fɔrs
Forever,Para siempre,fərˈɛvər
Forget,Olvidar,fərˈɡɛt
Forgive,Perdonar,fərˈɡɪv
Forgot,Olvidó,fərˈɡɑt
Forward,Adelante,ˈfɔrwərd
Found,Encontró,faʊnd
Free,Gratis,fri
Friend,Amigo,frɛnd
Friends,Amigos,frɛnds
From,De,frʌm
Front,Frente,frʌnt
Full,Lleno,fʊl
Funny,Divertido,ˈfʌni
Future,Futuro,ˈfjʊtʃər
Game,Juego,ɡeɪm
Gave,Dio,ɡeɪv
General,General,ˈdʒɛnərəl
Gentlemen,Caballeros,ˈdʒɛntəlmən
Get,Conseguir,ɡɛt
Getting,Conseguir,ˈɡɛtɪŋ
Girl,Chica,ɡɜrl
Girlfriend,Novia,ˈɡɜrlˌfrɛnd
Give,Dar,ɡɪv
Given,Dado,ˈɡɪvn̩
Giving,Donación,ˈɡɪvɪŋ
Glad,Contento,ɡlæd
Go,Ir,ɡoʊ
God,Dios,ɡɒd
Going,Yendo,ˈɡoʊɪŋ
Gold,Oro,ɡoʊld
Gone,Desaparecido,ɡɒn
Gonna,Vamos ˈɡɑnə,
Good,Bueno,ɡʊd
Goodbye,Adiós,ɡʊdˈbaɪ
Got,Tengo,ɡɒt
Gotta,Tengo que,ˈɡɑtə
Government,Gobierno,ˈɡʌvərnmənt
Great,Excelente,ɡreɪt
Ground,Suelo,ɡraʊnd
Group,Grupo,ɡrup
Guess,Adivinar,ɡɛs
Gun,Pistola,ɡʌn
Guy,Chico,ɡaɪ
Guys,Tipo,ɡaɪz
Had,Tenía,hæd
Hair,Cabello,hɛr
Half,Medio,hæf
Hand,Mano,hænd
Handle,Manejar,ˈhændəl
Hands,Manos,hændz
Hang,Colgar,hæŋ
Happen,Suceder,ˈhæpən
Happened,Sucedió,ˈhæpənd
Happening,Sucediendo,ˈhæpənɪŋ
Happens,Ocurrir,ˈhæpənz
Happy,Feliz,ˈhæpi
Hard,Duro,hɑrd
Has,Tiene,hæz
Hate,Odiar,heɪt
Have,Tener,hæv
Having,Teniendo,ˈhævɪŋ
He,Él,hi
Head,Cabeza,hɛd
Hear,Escuchar,hɪr
Heard,Escuchó,hɜrd
Heart,Corazón,hɑrt
Hell,Infierno,hɛl
Hello,Hola,həˈloʊ
Help,Ayuda,hɛlp
Her,Ella, hɜr
Here,Aquí,hɪr
Hi,Hola,haɪ
Hide,Esconder,haɪd
High,Alto,haɪ
Him,A Él,hɪm
Himself,Él mismo,hɪmˈsɛlf
His,Su,hɪz
History,Historia,ˈhɪstəri
Hit,Golpear,hɪt
Hold,Sostener,hoʊld
Home,Hogar,hoʊm
Honest,Honesto,ˈɒnɪst
Honey,Miel,ˈhʌni
Honor,Honor,ˈɒnər
Hope,Esperanza,hoʊp
Horse,Caballo,hɔrs
Hospital,Hospital,ˈhɑspɪtl̩
Hot,Caliente,hɒt
Hotel,Hotel,hoʊˈtɛl
Hour,Hora,aʊr
Hours,Horas,aʊrz
House,Casa,haʊs
How,Cómo,haʊ
Human,Humano,ˈhjumən
Hungry,Hambriento,ˈhʌŋɡri
Hurry,Apurarse,ˈhɜri
Hurt,Herir,hɜrt
Husband,Esposo,ˈhʌzbənd
I,Yo,aɪ
Ice,Hielo,aɪs
Idea,Idea,aɪˈdiə
Idiot,Estúpido,ˈɪdiət
If,Si,ɪf
Imagine,Imaginar,ɪˈmædʒən
Important,Importante,ɪmˈpɔrtənt
In,En,ɪn
Information,Información,ˌɪnfərˈmeɪʃən
Inside,Adentro,ɪnˈsaɪd
Instead,En cambio,ɪnˈstɛd
Interested,Interesado,ˈɪntrəstɪd
Interesting,Interesante,ˈɪntərəstɪŋ
Into,En,ˈɪntu
Is,Es,ɪz
It,Lo,ɪt
Jesus,Jesús,ˈdʒizəs
Job,Trabajo,dʒɑb
Join,Unirse,dʒɔɪn
Judge,Juez,dʒʌdʒ
Just,Solo,dʒʌst
Keep,Mantener,kip
Kept,Conservó,kɛpt
Key,Llave,ki
Kid,Niño,kɪd
Kidding,Bromear,ˈkɪdɪŋ
Kids,Niños,kɪdz
Kill,Matar,kɪl
Killed,Delicado,kɪld
Killer,Asesino,ˈkɪlər
Killing,Asesinato,ˈkɪlɪŋ
Kind,Amable,kaɪnd
King,Rey,kɪŋ
Kiss,Beso,kɪs
Knew,Sabía,nu
Know,Saber,noʊ
Known,Conocido,noʊn
Knows,Saber,noʊz
Ladies,Señoras,ˈleɪdiz
Lady,Dama,ˈleɪdi
Land,Tierra,lænd
Last,Último,læst
Late,Tarde,leɪt
Later,Más tarde,ˈleɪtər
Laugh,Reír,læf
Laughing,Reír,ˈlæfɪŋ
Laughs,Risas,læfs
Law,Ley,lɔ
Lead,Dirigir,liːd
Learn,Aprender,lɜrn
Least,Lo menos,list
Leave,Dejar,liːv
Leaving,Partida,ˈlivɪŋ
Left,Izquierda,lɛft
Less,Menos,lɛs
Let,Dejar,lɛt
Letter,Carta,ˈlɛtər
Lie,Mentir,laɪ
Lieutenant,Teniente,luːˈtɛnənt
Life,Vida,laɪf
Light,Luz,laɪt
Like,Como,laɪk
Line,Línea,laɪn
List,Lista,lɪst
Listen,Escuchar,ˈlɪsən
Little,Pequeño,ˈlɪtəl
Live,Vivir,lɪv
Lives,Vidas,laɪvz
Living,Viviendo,ˈlɪvɪŋ
Long,Largo,lɔŋ
Longer,Más extenso,ˈlɔŋɡər
Look,Mirar,lʊk
Looked,Miró,lʊkt
Looking,Mirando,ˈlʊkɪŋ
Looks,Aspecto,lʊks
Lord,Caballero,lɔrd
Lose,Perder,luːz
Lost,Perdido,lɒst
Lot,Lote,lɑt
Love,Amar,lʌv
Loved,Amado,lʌvd
Lovely,Encantador,ˈlʌvli
Luck,Suerte,lʌk
Lucky,Afortunado,ˈlʌki
Lunch,Almuerzo,lʌntʃ
Lying,Mintiendo,laɪɪŋ
Machine,Máquina,məˈʃin
Mad,Enojado,mæd
Made,Hecho,meɪd
Major,Importante,ˈmeɪdʒər
Make,Hacer,meɪk
Making,Haciendo,ˈmeɪk
Man,Hombre,mæn
Many,Muchos,ˈmɛni
Mark,Marca,mɑrk
Marriage,Casamiento,ˈmærɪdʒ
Married,Casado,ˈmærid
Marry,Casar,ˈmæri
Master,Maestro,ˈmæstər
Matter,Asunto,ˈmætər
May,Puede,meɪ
Maybe,Tal vez,ˈmeɪbi
Me,Mí,mi
Mean,Significar,min
Means,Medio,miːnz
Meant,Quiso decir,mɛnt
Meet,Encontrarse,mit
Meeting,Reunión,ˈmitɪŋ
Men,Hombres,mɛn
Mess,Desorden,mɛs
Message,Mensaje,ˈmɛsɪdʒ
Met,Reunió,mɛt
Middle,Medio,ˈmɪdəl
Might,Podría,maɪt
Miles,Millas,maɪlz
Million,Millón,ˈmɪljən
Mind,Mente,maɪnd
Mine,Mío,maɪn
Minute,Minuto,ˈmɪnɪt
Minutes,Minutos,ˈmɪnɪts
Miss,Extrañar,mɪs
Missed,Omitido,mɪst
Missing,Desaparecido,ˈmɪsɪŋ
Mistake,Error,mɪˈsteɪk
Mom,Mamá,mɒm
Moment,Momento,ˈmoʊmənt
Money,Dinero,ˈmʌni
Month,Mes,mʌnθ
Months,Meses,mʌnθs
More,Más,mɔr
Morning,Mañana,ˈmɔrnɪŋ
Most,Mayoría,moʊst
Mother,Madre,ˈmʌðər
Mouth,Boca,maʊθ
Move,Mover,muv
Moved,Movido,muːvd
Movie,Película,ˈmuvi
Moving,Moviente,ˈmuvɪŋ
Mrs.,Señora.,ˈmɪsɪz
Much,Mucho,mʌtʃ
Mum,Mamá,mʌm
Murder,Asesinato,ˈmɜrdər
Music,Música,ˈmjuzɪk
Must,Debe,mʌst
My,Mi,maɪ
Myself,Mí mismo,maɪˈsɛlf
Near,Cerca,nɪər
Need,Necesitar,niːd
Needed,Necesario,ˈnidɪd
Needs,Necesidades,niːdz
Never,Nunca,ˈnɛvər
New,Nuevo,njuː
News,Noticias,nuːz
Next,Próximo,nɛkst
Nice,Lindo,naɪs
Night,Noche,naɪt
No,Noʊ,noʊ
Nobody,Nadie,ˈnoʊˌbɑdi
,Ninguno,nʌn
Normal,Normal,ˈnɔrməl
Not,No,nɒt
Nothing,Nada,ˈnʌθɪŋ
Now,Ahora,naʊ
Number,Número,ˈnʌmbər
Of,De,əv
Off,Apagado,ɔf
Offer,Oferta,ˈɔfər
Office,Oficina,ˈɔfɪs
Officer,Oficial,ˈɔfɪsər
Often,A menudo,ˈɔfən
Old,Viejo,oʊld
On,En,ɒn
Once,Una vez,wʌns
One,Uno,wʌn
Ones,Unos,wʌnz
Only,Solo,ˈoʊnli
Open,Abierto,oʊpən
Or,O,oʊr
Order,Orden,ˈɔrdər
Other,Otro,ˈʌðər
Others,Otros,ˈʌðərz
Our,Nuestro,aʊr
Out,Fuera,aʊt
Outside,Afuera,aʊtˈsaɪd
Over,Encima,ˈoʊvər
Own,Propio,oʊn
Paid,Pagado,peɪd
Pain,Dolor,peɪn
Paper,Papel,ˈpeɪpər
Parents,Padres,ˈpɛrənts
Park,Parque,pɑrk
Part,Parte,pɑrt
Pass,Aprobar,pæs
Past,Pasado,pæst
Pay,Pagar,peɪ
Peace,Paz,pis
People,Gente,ˈpipəl
Perfect,Perfecto,ˈpɜrfɪkt
Perhaps,Tal vez,pərˈhæps
Person,Persona,ˈpɜrsən
Personal,Personal,ˈpɜrsənl̩
Phone,Teléfono,foʊn
Pick,Elegir,pɪk
Picture,Imagen,ˈpɪktʃər
Piece,Pedazo,pis
Place,Lugar,pleɪs
Plan,Plan,plæn
Play,Jugar,pleɪ
Playing,Jugando,ˈpleɪɪŋ
Please,Por favor,pliːz
Point,Punto,pɔɪnt
Police,Policía,pəˈlis
Poor,Pobre,pʊr
Position,Posición,pəˈzɪʃən
Possible,Posible,ˈpɑsəbl̩
Power,Fuerza,ˈpaʊər
Present,Presente,prɛzənt
President,Presidente,ˈprɛzɪdənt
Pretty,Bonito,ˈprɪti
Prison,Prisión,ˈprɪzən
Private,Privado,ˈpraɪvɪt
Probably,Probablemente,ˈprɒbəbli
Problem,Problema,ˈprɑbləm
Promise,Promesa,ˈprɒmɪs
Protect,Proteger,prəˈtɛkt
Proud,Orgulloso,praʊd
Prove,Probar,pruv
Public,Público,ˈpʌblɪk
Pull,Jalar,pʊl
Put,Poner,pʊt
Question,Pregunta,ˈkwɛsʧən
Questions,Preguntas,ˈkwɛsʧənz
Quick,Rápido,kwɪk
Quickly,Rápidamente,ˈkwɪkli
Quiet,Tranquilo,kwaɪɪt
Radio,Radio,ˈreɪdioʊ
Ran,Corrió,ræn
Rather,Bastante,ˈræðər
Read,Leer,riːd
Ready,Listo,ˈrɛdi
Real,Real,riəl
Realize,Darse cuenta,ˈriəˌlaɪz
Really,Realmente,ˈriəli
Reason,Razón,ˈriːzən
Record,Registro,rɪˈkɔrd
Red,Rojo,rɛd
Relationship,Relación,rɪˈleɪʃənʃɪp
Relax,Relajarse,rɪˈlæks
Remember,Recordar,rɪˈmɛmbər
Report,Informe,rɪˈpɔrt
Respect,Respeto,rɪˈspɛkt
Rest,Descansar,rɛst
Return,Devolver,rɪˈtɜrn
Rich,Rico,rɪʧ
Ride,Conducir,raɪd
Right,Derecho,raɪt
Ring,Anillo,rɪŋ
Road,Camino,roʊd
Rock,Roca,rɑk
Room,Habitación,rum
Round,Redondo,raʊnd
Run,Correr,rʌn
Running,Correr,ˈrʌnɪŋ
Sad,Triste,sæd
Safe,Seguro,seɪf
Said,Dicho,sɛd
Sam,Sam,sæm
Same,Mismo,seɪm
Save,Ahorrar,seɪv
Saved,Salvado,seɪvd
Saw,Sierra,sɔ
Say,Decir,seɪ
Saying,Dicho,ˈseɪɪŋ
Scared,Asustado,skɛrd
Scene,Escena,siːn
School,Escuela,skul
Screaming,Gritando,ˈskrimɪŋ
Sea,Mar,si
Seat,Asiento,sit
Second,Segundo,ˈsɛkənd
Secret,Secreto,ˈsikrɪt
Security,Seguridad,sɪˈkjʊrəti
See,Ver,si
Seeing,Vidente,ˈsiɪŋ
Seem,Parecer,siːm
Seems,Parece,siːmz
Seen,Visto,siːn
Sell,Vender,sɛl
Send,Enviar,sɛnd
Sense,Sentido,sɛns
Sent,Enviado,sɛnt
Serious,Grave,ˈsɪriəs
Seriously,En serio,ˈsɪriəsli
Service,Servicio,ˈsɜrvɪs
Set,Colocar,sɛt
Seven,Siete,ˈsɛvən
Sex,Sexo,sɛks
Shall,Deberá,ʃæl
Share,Compartir,ʃɛr
She,Ella,ʃi
Ship,Barco,ʃɪp
Shoot,Disparar,ʃut
Short,Corto,ʃɔrt
Shot,Disparo,ʃɑt
Should,Debería,ʃʊd
Show,Espectáculo,ʃoʊ
Shut,Cerrar,ʃʌt
Sick,Enfermo,sɪk
Side,Lado,saɪd
Sighs,Suspiros,saɪz
Sign,Firmar,saɪn
Simple,Simple,ˈsɪmpəl
Since,Desde,sɪns
Sing,Cantar,sɪŋ
Single,Soltero,ˈsɪŋɡəl
Sir,Señor,sɜr
Sister,Hermana,ˈsɪstər
Sit,Sentarse,sɪt
Sitting,Sesión,ˈsɪtɪŋ
Situation,Situación,ˌsɪtʃuˈeɪʃən
Six,Seis,sɪks
Small,Pequeño,smɔl
Smart,Elegante,smɑrt
Smell,Oler,smɛl
So,Así,soʊ
Some,Algunos,sʌm
Somebody,Alguien,ˈsʌmbɒdi
Someone,Alguien,ˈsəmˌwʌn
Something,Algo,ˈsʌmˌθɪŋ
Sometimes,A veces,ˈsəmˌtaɪmz
Somewhere,En algún lugar,ˈsʌmˌwɛr
Son,Hijo,sʌn
Song,Canción,sɔŋ
Soon,Pronto,sun
Sorry,Lo siento,ˈsɔri
Sort,Clasificar,sɔrt
Soul,Alma,soʊl
Sound,Sonido,saʊnd
Sounds,Sonidos,saʊndz
Space,Espacio,speɪs
Speak,Hablar,spiːk
Speaking,Discurso,ˈspikɪŋ
Special,Especial,ˈspɛʃəl
Spend,Gastar,spɛnd
Spent,Gastado,spɛnt
Stand,Pararse,stænd
Standing,De pie,ˈstændɪŋ
Star,Estrella,stɑr
Start,Comenzar,stɑrt
Started,Comenzó,stɑrtɪd
Starting,A partir de,ˈstɑrtɪŋ
State,Estado,steɪt
Station,Estación,ˈsteɪʃən
Stay,Permanecer,steɪ
Step,Paso,stɛp
Stick,Palo,stɪk
Still,Aún,stɪl
Stop,Detener,stɑp
Stopped,Interrumpido,stɑpt
Story,Historia,ˈstɔri
Straight,Derecho,stretʃt
Strange,Extraño,streɪndʒ
Street,Calle,strit
Strong,Fuerte,strɔŋ
Stuff,Cosa,stʌf
Stupid,Estúpido,ˈstuːpɪd
Such,Semejante,sʌʧ
Sun,Sol,sʌn
Suppose,Suponer,səˈpoʊz
Supposed,Supuesto,səˈpoʊzd
Sure,Seguro,ʃʊr
Surprise,Sorpresa,sərˈpraɪz
Swear,Jurar,sweər
Sweet,Dulce,swit
System,Sistema,ˈsɪstəm
Table,Mesa,ˈteɪbl̩
Take,Tomar,teɪk
Taken,Tomado,ˈteɪkən
Takes,Acepta,teɪks
Taking,Tomando,ˈteɪkɪŋ
Talk,Hablar,tɔk
Talked,Habló,tɔkt
Talking,Hablando,ˈtɔkɪŋ
Tea,Té,ti
Team,Equipo,tiːm
Tell,Decir,tɛl
Telling,Narración,ˈtɛlɪŋ
Ten,Diez,tɛn
Terrible,Horrible,ˈtɛrəbl̩
Test,Prueba,tɛst
Than,Que,ðæn
Thank,Agradecer,θæŋk
Thanks,Gracias,θæŋks
That,Eso,ðæt
The,El,ðə
The,La,ðə
Their,Su,ðɛr
Them,Ellos,dɛm
Then,Entonces,ðɛn
There,Ahí,ðɛr
These,Estos,ðiz
They,Ellos,ðeɪ
Thing,Cosa,θɪŋ
Things,Cosas,θɪŋz
Think,Pensar,θɪŋk
Thinking,Pensamiento,ˈθɪŋkɪŋ
Thinks,Pensamiento,θɪŋks
Third,Tercero,θɜrd
This,Esto,ðɪs
Those,Aquellos,ðoʊz
Though,Aunque,ðoʊ
Thought,Pensamiento,θɔt
Three,Tres,θri
Through,A través de,θru
Throw,Tirar,θroʊ
Till,Hasta,tɪl
Time,Tiempo,taɪm
Times,Veces,taɪmz
Tired,Cansado,taɪrd
To,Para,tuː
Today,Hoy,təˈdeɪ
Together,Juntos,tuˈɡɛðər
Told,Dijo,toʊld
Tomorrow,Mañana,təˈmɑroʊ
Tonight,Esta noche,təˈnaɪt
Too,También,tuː
Took,Tomó,tʊk
Top,Arriba,tɒp
Totally,Totalmente,ˈtoʊtəli
Touch,Tocar,tʌʧ
Tough,Difícil,tʌf
Town,Pueblo,taʊn
Train,Tren,tren
Tried,Intentó,traɪd
Trip,Viaje,trɪp
Trouble,Problema,ˈtrʌbl̩
Trust,Confianza,trʌst
Truth,Verdad,truθ
Try,Intentar,traɪ
Turn,Doblar,tɜrn
Turned,Transformado,tɜrnd
Two,Dos,tu
Uncle,Tío,ˈʌŋkl̩
Under,Bajo,ˈʌndər
Understand,Entender,ˌʌndərˈstænd
Unless,A menos que,ənˈlɛs
Until,Hasta,ənˈtɪl
Up,Arriba,ʌp
Us,Nosotros,ʌs
Use,Usar,jus
Used,Usado,juzd
Using,Usando,ˈjuzɪŋ
Very,Muy,ˈvɛri
Visit,Visitar,ˈvɪzɪt
Voice,Voz,vɔɪs
Wait,Esperar,weɪt
Waiting,Espera,ˈweɪtɪŋ
Wake,Despertar,weɪk
Walk,Caminar,wɔk
Walking,Caminando,ˈwɔkɪŋ
Wall,Muro,wɔl
Wanna,Querer,ˈwɑnə
Want,Querer,wɑnt
Wanted,Buscado,ˈwɑntɪd
War,Guerra,wɔr
Was,Fue,wəz
Watch,Observar,wɑtʃ
Watching,Mirando,ˈwɒʧɪŋ
Water,Agua,ˈwɔtər
Way,Forma,weɪ
We,Nosotros,wi
Wear,Tener puesto,wɛr
Wearing,Agotador,ˈwɛrɪŋ
Wedding,Boda,ˈwɛdɪŋ
Week,Semana,wik
Weeks,Semanas,wiks
Weird,Extraño,wɪrd
Welcome,Bienvenido,wɛlˈkʌm
Well,Bien,wɛl
Went,Fue,wɛnt
Were,Eran,wɜr
What,Qué,wʌt
Whatever,Lo que sea,wətˈɛvər
When,Cuándo,wɛn
Where,Dónde,wɛr
Whether,Si,ˈwɛðər
Which,Cual,wɪtʃ
While,Mientras,waɪl
White,Blanco,waɪt
Who,Quién,hu
Whoa,Whoa,woʊ
Whole,Entero,hoʊl
Why,Por qué,waɪ
Wife,Esposa,waɪf
Will,Voluntad,wɪl
Win,Ganar,wɪn
Window,Ventana,ˈwɪndoʊ
Wish,Desear,wɪʃ
With,Con,wɪð
Within,Dentro,wɪˈðɪn
Without,Sin,wɪˈðaʊt
Woman,Mujer,ˈwʊmən
Women,Mujeres,ˈwɪmɪn
Won,Ganado,wʌn
Wonder,Preguntarse,ˈwʌndər
Wonderful,Maravilloso,ˈwʌndərfəl
Word,Palabra,wɜrd
Words,Palabras,wɝdz
