Italiano,Español,IPA
Bel,Lindo,bel
Bella,Bonito,ˈbɛlla
Bello,Elegante,
Ben,Bueno,ben
Bene,Bien,ˈbɛne
Benissimo,Muy bien,be.nisˈsi.mo
Bere,Bebiendo,ˈbe.re
Bisogna,Debe,biˈzɔ.ɲa
Bisogno,Necesidad,biˈzɔɲɲo
Bocca,Boca,ˈbok.ka
Brava,Bien,ˈbra.va
Bravo,Buen chico,ˈbravo
Brutto,Feo,ˈbrut.to
Buon,Bien,bwon
Buona,Bien,ˈbwɔna
Buongiorno,Buen día,bwonˈdjorno
Buono,Bien,ˈbwɔ.no
Cambiare,Cambiar,kamˈbia.re
Cambiato,Cambió,kamˈbja.to
Camera,Habitación,kaˈme.ra
Campo,Campo,ˈkam.po
Cane,Perro,ˈka.ne
Capelli,Cabello,kaˈpɛl.li
Capire,Entender,kaˈpire
Capisci,Tú entiendes,kaˈpi.ʃi
Capisco,Entiendo,kaˈpisko
Capitano,Capitán,ka.piˈta.no
Capito,Comprendido,kaˈpito
Capo,Jefe,ˈkapo
Cara,Estimado,ˈka.ra
Carino,Lindo,kaˈri.no
Caro,Estimado,ˈka.ro
Carta,Papel,ˈkar.ta
Casa,Hogar,ˈkasa
Caso,Caso,ˈkazo
Causa,Causa,ˈkau̯.za
Cavolo,Repollo,kaˈvolo
Cazzo,Mierda,ˈkattso
Ce,Hay,tʃe
Cena,Cena,ˈtʃɛna
Centro,Centro,ˈt͡ʃen.tro
Cerca,Cerca,ˈt͡ʃɛr.ka
Cercando,Buscando,ʧerˈkando
Cercare,Buscar,ʧerˈkare
Cercato,Buscado,ʧerˈka.to
Certo,Cierto,ˈtʃerto
Cervello,Cerebro,ʧerˈvel.lo
Che,Eso,ke
Chi,Quien,ki
Chiama,Quien ama,ˈkjama
Chiamare,Llamar,kjaˈma.re
Chiamata,Llamar,kjaˈma.ta
Chiamato,Llamado,kjaˈmato
Chiami,Llamar,ˈkja.mi
Chiamo,Llamar,ˈkja.mo
Chiaro,Claro,ˈkja.ro
Chiave,Llave,ˈkja.ve
Chiedere,Preguntar,kjeˈde.re
Chiedo,Pregunto,ˈkje.do
Chiesto,Preguntó,kjɛsˈto
Chiunque,Quien,kiˈun.kwe
Chiuso,Cerrado,kjuˈzo
Ci,Allá,ʧi
Ciao,Hola,tʃao
Cibo,Alimento,ˈʧi.bo
Cielo,Cielo,ˈt͡ʃe.lo
Cinque,Cinco,ˈʧinkwe
Ciò,Eso es,ʧɔ
Cio,Eso es,ʧo
Cioe,Es decir,ˈt͡ʃɔ.e
Cioè,Es decir,ˈtʃɔ.e
Circa,Acerca de,ˈt͡ʃir.ka
Citta,Ciudad,ˈʧit.ta
Città,Ciudad,ˈʧit.ta
Cliente,Cliente,kliˈɛn.te
Col,Con el,kol
Colpa,Culpa,ˈkolpa
Colpo,Golpear,ˈkol.po
Come,Como,kome
Compagnia,Compañía,komˈpa.ɲi.a
Compleanno,Cumpleaños,kom.plaˈnno
Completamente,Completamente,kom.ple.taˈmen.te
Comunque,De todos modos,komˈkunke
Con,Con,kon
Conosce,Saber,koˈno.ʃe
Conosci,Sabes,koˈno.ʃi
Conosciuto,Conocido,ko.noˈʃu.to
Conosco,Sé,koˈnosko
Consiglio,Consejo,konˈsiʎ.ʎo
Continua,Continúa,kon.tiˈnwa
Continuare,Continuar,kon.tiˈnwa.re
Conto,Yo cuento,ˈkonto
Contro,Contra,ˈkontro
Controllare,Controlar,kon.trolˈla.re
Controllo,Controlar,konˈtrollo
Coraggio,Coraje,koˈra.d͡ʒ.ʒo
Corpo,Cuerpo,ˈkɔrpo
Cos',Entonces,kɔs
Cosa,Cosa,ˈkɔsa
Cose,Cosas,ˈkose
Cosi,Como esto,ˈkɔzi
Così,Como esto,koˈzi
Crede,Crees,ˈkre.de
Credere,Creer,kreˈdeːre
Credevo,Yo creí,kreˈde.vo
Credi,Creer,ˈkredi
Credo,Yo creo,ˈkrɛdo
Cui,Cual,kui
Cuore,Corazón,ˈkwɔre
Cura,Tratamiento,ˈku.ra
Da,De,da
Dai,Vamos,dai
Dal,Desde el,da
Dalla,Desde el,ˈdalla
Dalle,Darle,ˈdal.le
Dammi,Dame,ˈdammi
Dare,Dar,ˈdare
Dato,Dado,ˈdato
Davanti,Delante de,daˈvanti
David,David,ˈda.vid
Davvero,En realidad,davˈvero
Deciso,Decidido,deˈʧi.so
Degli,Del,ˈdɛʎʎi
Dei,Del,dei
Del,Del,del
Dell',De,del
Della,Desde el,ˈdɛlla
Delle,Desde el,ˈdɛlle
Dello,Del,ˈdel.lo
Denaro,Dinero,deˈna.ro
Dentro,Adentro,ˈdɛntro
Detective,Detective,deˈtek.ti.ve
Detto,Dicho,ˈdɛtto
Deve,Necesita,ˈdɛve
Devi,Tienes que,ˈdɛvi
Devo,Tengo que,ˈdɛvo
Devono,Tienen que,ˈde.vo.no
Di,De,di
Diavolo,Demonio,ˈdjaːvolo
Dica,Decir,ˈdi.ka
Dice,Él dice,ˈditʃe
Dicendo,Dicho,diˈʧɛndo
Dici,Tu dices,ˈdiʧi
Dico,Yo digo,ˈdiːko
Dicono,Ellos dicen,diˈko.no
Dieci,Diez,ˈdje.t͡ʃi
Dietro,Detrás,ˈdjɛtro
Difficile,Difícil,diˈfiʧile
Dimenticato,Olvidado,dim.tiˈka.to
Dimmi,Dime,ˈdimmi
Dio,Dios,dio
Dire,Decir,ˈdire
Direi,Yo diría que,diˈre.i
Diritto,Bien,ˈdir.it.to
Dirlo,Házle,ˈdir.lo
Dirmi,Dime,ˈdir.mi
Dirti,Decirte,ˈdir.ti
Dispiace,Lo siento,disˈpjaʧe
Disse,Ella dijo,ˈdis.se
Diventare,Convertirse,di.venˈta.re
Diverso,Diferente,diˈvɛr.so
Divertente,Divertido,diverˈtente
Do,Hacer,do
Dobbiamo,Tenemos que,ˈdɔbbiamo
Dolce,Dulce,dol.t͡ʃe
Dollari,Dólares,dolˈlari
Dolore,Dolor,doˈlo.re
Domanda,Pedido,doˈmanda
Domande,Peticiones,doˈman.de
Domani,Mañana,doˈmaːni
Donna,Mujer,ˈdɔnna
Donne,Mujer,ˈdonne
Dopo,Después,ˈdopo
Dormire,Dormir,dorˈmi.re
Dottor,Doctor,ˈdottor
Dottore,Doctor,ˈdottore
Dottoressa,Doctora,ˌdot.toˈres.sa
Dove,Dónde,ˈdove
Dovete,Tienes que,doˈve.te
Doveva,A donde vaya,doˈve.va
Dovevo,Tuve que,doˈve.vo
Dovrebbe,Debería,dovˈrɛbːe
Dovrei,Yo debería,doˈvrei
Dovremmo,Deberíamos,dovˈrɛmmo
Dovresti,Debería,dovˈrɛsti
Dovuto,Pendiente,doˈvuːto
Due,Dos,ˈdue
Durante,Durante,duˈran.te
É,Es,e
E,Y,e
È,Y,ɛ
Ecco,Aquí estás,ˈɛkko
Entra,Ingresar,ˈɛn.tra
Entrambi,Ambos,amˈbambi
Entrare,Ingresar,ˈɛntrare
Era,Era,ˈɛra
Erano,Ellos eran,eˈrano
Eravamo,Éramos,e.raˈva.mo
Eri,Eras,ˈeri
Ero,Era,ˈɛro
Errore,Error,erˈro.re
Esattamente,Exactamente,ezatˈtamente
Esatto,Exactamente,esatˈto
Esserci,Allá,ˈɛs.ser.t͡ʃi
Essere,Ser,ˈɛssere
Fa,Hace,fa
Faccia,Rostro,ˈfattʃa
Facciamo,Hacemos,faʧˈʧiamo
Faccio,Sí,ˈfattʃo
Facendo,Haciendo,faˈtʃɛndo
Faceva,Él hizo,faˈt͡ʃɛ.va
Facile,Fácil,faˈtʃile
Fai,Tú haces,fai
Fallo,Hazlo,ˈfal.lo
Fame,Hambre,ˈfa.me
Famiglia,Familia,faˈmiʎʎa
Fammi,Hazlo por mi,ˈfam.mi
Fanno,Ellas hacen,ˈfanno
Fantastico,Fantástico,fanˈtastiko
Far,Hacer,far
Fara,Hará,faˈra
Farà,Hará,faˈra
Farai,Harás,faˈra.i
Farci,Haznos,ˈfar.t͡ʃi
Fare,Hacer,ˈfare
Faremo,Nosotros lo haremos,ˈfa.re.mo
Farlo,Para hacerlo,ˈfarlo
Farmi,Hazme,ˈfarmi
Faro,Faro,ˈfaro
Farò,Faro,faˈro
Farti,Hará,farˈti
Fate,Tú haces,ˈfate
Fatta,Hecho,ˈfatta
Fatti,Hechos,ˈfat.ti
Fatto,Hecho,ˈfatto
Favore,Favor,faˈvore
Felice,Feliz,ˈfɛlitʃe
Fermo,Interrumpido,ˈfer.mo
Festa,Fiesta,ˈfɛsta
Figli,Niños,fidʒˈʎi
Figlia,Hija,ˈfiʎʎa
Figlio,Hijo,ˈfiʎʎo
Film,Película,ˈfilm
Fin,Fino,fim
Finalmente,Finalmente,fi.nalˈmen.te
Finche,Hasta,ˈfin.ke
Finché,Hasta,fin.kwe
Fine,Fin,ˈfine
Finire,Finalizar,fiˈni.re
Finita,Finito,fiˈni.ta
Finito,Finalizado,fiˈnito
Fino,Hasta,ˈfino
Fondo,Abajo,ˈfon.do
Forse,Tal vez,ˈforse
Forte,Fuerte,ˈforte
Fortuna,Fortuna,forˈtuːna
Forza,Fuerza,ˈfortsa
Fosse,Es,ˈfosse
Fossi,Bucear,ˈfɔssi
Foto,Foto,ˈfoto
Fra,Entre,fra
Fratello,Hermano,fraˈtɛllo
Fretta,Correr,ˈfret.ta
Fu,Era,fu
Funziona,Obras,funˈt͡sjɔ.na
Fuoco,Fuego,ˈfwɔko
Fuori,Afuera,ˈfwɔri
Futuro,Futuro,fuˈtu.ro
Generale,General,d͡ʒe.neˈra.le
Genere,Tipo,ˈʤɛnere
Genitori,Padres,ʤeˈni.to.ri
Gente,Gente,ˈdʒɛnte
Gentile,Amable,ʤenˈti.le
George,Jorge,d͡ʒɔrd͡ʒ
Gia,Ya,dʒa
Già,Ya,dʒa
Giocare,Jugar,ˈd͡ʒo.kare
Gioco,Juego,ˈdʒoːko
Giornata,Día,d͡ʒorˈna.ta
Giorni,Días,ˈdʒorni
Giorno,Día,ˈdʒorno
Giovane,Joven,ʤoˈva.ne
Giro,Recorrido,ˈdʒiro
Giu,Abajo,d͡ʒu
Giù,Abajo,d͡ʒu
Giuro,Lo juro,d͡ʒuˈro
Giusta,Bien,ˈd͡ʒwos.ta
Giusto,Bien,ˈdʒusto
Gli,El,ʎi
Glielo,Él,d͡ʒˈlo
Grado,Calificación,ˈɡra.do
Gran,Grande,ɡran
Grande,Excelente,ˈɡrande
Grandi,Grande,ˈɡran.de
Grazie,Gracias,ˈɡratʧe
Grosso,Grande,ˈɡros.so
Gruppo,Grupo,ˈɡrup.po
Guai,Problema,ɡwai
Guarda,Mirar,ˈɡwarda
Guardare,Mirar,ɡwarˈda.re
Guardate,Mirar,ɡwarˈda.te
Guardi,Mirar,ˈɡwar.di
Guerra,Guerra,ˈɡuerra
Ha,Tiene,a
Hai,Tienes,ai
Hanno,Ellos tienen,ˈanno
Ho,Tengo,ɔ
I,El,i
Idea,Idea,iˈdɛa
Idiota,Estúpido,iˈdjo.ta
Ieri,Ayer,ˈjɛri
Il,El,il
Immagino,Imagino,im.maˈd͡ʒi.no
Importa,Importa,imˈpɔrta
Importante,Importante,imporˈtante
Impossibile,Imposible,im.pɔˈsi.bi.le
In,En,in
Incidente,Accidente,in.t͡ʃiˈdɛn.te
Incontro,Encuentro,inˈkon.tro
Incredibile,Increíble,in.kreˈdi.ble
Indietro,Hacia atrás,indjetˈtro
Informazioni,Información,in.for.maˈt͡sjɔ.ni
Iniziare,Comenzar,i.niˈt͡sa.re
Iniziato,Comenzó,i.niˈʦja.to
Inizio,Comenzar,ˈi.nit͡sjo
Insieme,Juntos,inˈsjɛme
Insomma,En breve,inˈsɔm.ma
Intendo,Pretendo,inˈtɛn.do
Intenzione,Intención,in.ten.ˈt͡sjɔ.ne
Interessa,Interés,in.terˈɛs.sa
Interessante,Interesante,in.ter.esˈsan.te
Intorno,Ambiente,inˈtor.no
Invece,En cambio,inˈvetʃe
Io,Yo,jo
Jack,Jacobo,ʤak
La,Allá,la
Là,Allá,la
Lasci,Dejar,ˈlaʃ.i
Lascia,Hojas,ˈlaʃʃa
Lasciami,Déjame,laʃˈʃa.mi
Lasciare,Dejar,laʃˈʃa.re
Lasciato,Izquierda,laʃˈʃato
Lavora,Trabajar,laˈvo.ra
Lavorare,Trabajar,lavoˈrare
Lavoro,Trabajar,laˈvɔro
Le,El,le
Legge,Ley,lɛd͡ʒ
Lei,Ella,lɛi
Letto,Cama,ˈletto
Lì,Allá,li
Li,Los,li
Libero,Gratis,ˈli.be.ro
Libro,Libro,ˈli.bro
Lista,Lista,ˈlis.ta
Lo,El,lo
Lontano,Distante,lonˈta.no
Loro,Ellos,ˈloro
Luce,Luz,lu.t͡ʃe
Lui,Él,lui
Lungo,Largo,ˈlun.go
Ma,Pero,ma
Macchina,Máquina,ˈmakkina
Madre,Madre,ˈmadre
Magari,Tal vez,maˈɡari
Mai,Nunca,mai
Male,Malo,ˈmale
Mamma,Mamá,ˈmamma
Manca,Falta,ˈmaŋ.ka
Mandato,Mandato,manˈda.to
Mangiare,Comer,man.dʒiˈaː.re
Mani,Manos,ˈmani
Mano,Mano,ˈmano
Marito,Marido,maˈrito
Matrimonio,Matrimonio,matrimoˈnio
Mattina,Mañana,maˈti.na
Me,Mí mismo,me
Medico,Doctor,ˈme.di.ko
Meglio,Mejor,ˈmɛʎʎo
Meno,Menos,ˈmɛno
Mente,Mente,ˈmɛn.te
Mentre,Mientras,ˈmentre
Mese,Mes,ˈme.se
Mesi,Meses,ˈmɛsi
Messaggio,Mensaje,mesˈsa.ʤo
Messo,Poner en orden,ˈmɛsso
Mettere,Poner,metˈte.re
Metti,Pones,ˈmet.ti
Mezzo,Medio,ˈmɛzzo
Mi,A mí,mi
Mia,Mi,ˈmia
Mie,Mi,ˈmie
Miei,Mi,ˈmɛi
Migliore,Mejorar,miʎˈʎore
Migliori,Mejor,miʎˈʎɔ.ri
Milioni,Millones,miˈljo.ni
Mille,Mil,mil.le
Minuti,Minutos,miˈnuti
Minuto,Minuto,ˈmi.nu.to
Mio,Mi,ˈmio
Modo,Forma,ˈmodo
Molte,Muchos,ˈmol.te
Molti,Muchos,ˈmɔlti
Molto,Muy,ˈmolto
Momento,Momento,moˈmento
Mondo,Mundo,ˈmondo
Morire,Morir,moˈrire
Morta,Muerto,ˈmɔr.ta
Morte,Muerte,ˈmorte
Morti,Muerto,ˈmor.ti
Morto,Fallecido,ˈmɔrto
Motivo,Razón,moˈtivo
Musica,Música,ˈmu.si.ka
Natale,Navidad,naˈta.le
Nave,Barco,ˈna.ve
Ne,Ni,ne
Neanche,Ni siquiera,neˈanke
Negli,En el,ˈneʎʎi
Negozio,Comercio,neˈɡot͡s.jo
Nei,En el,ˈnɛi
Nel,En el,nɛl
Nella,En el,ˈnɛlla
Nelle,En,ˈnelle
Nello,En,ˈnel.lo
Nemmeno,Ni siquiera,neˈmɛno
Nero,Negro,ˈne.ro
Nessun,No,nɛssun
Nessuna,Ninguno,nɛsˈsuna
Nessuno,Nadie,nesˈsuno
New,Nuevo,nɛw
Niente,Nada,ˈnjɛnte
No,No,no
Noi,Nosotros,ˈnoi
Nome,Nombre de pila,ˈnome
Non,No,non
Nonna,Abuela,ˈnon.na
Normale,Normal,norˈma.le
Nostra,Nuestro,ˈnostra
Nostre,Nuestro,ˈnɔ.stre
Nostro,Nuestro,ˈnostro
Notizie,Noticias,noˈtit͡sjɛ
Notte,Noche,ˈnɔtte
Nulla,Nada,ˈnulːa
Numero,Número,ˈnumɛro
Nuova,Nuevo,ˈnuova
Nuovo,Nuevo,ˈnwɔvo
O,O,o
Occhi,Ojos,ɔkki
Occhiata,Mirar,ok.kjaˈta
Occhio,Ojo,ˈɔ.k.kjo
Oddio,Odiar,ˈɔd.djo
Odio,Odiar,ˈɔ.djo
Oggi,Hoy,ˈɔddʒi
Ogni,Cada,ˈoɲɲi
Oh,Oh,ɔ
Okay,Bueno,oˈkei
Oltre,Más allá de,ˈɔl.tre
Omicidio,Homicidio,o.miˈʧi.di.o
Onore,Honor,oˈno.re
Oppure,O,oˈpu.re
Ora,Ahora,ˈɔra
Ordine,Orden,orˈdi.ne
Ore,Horas,ˈore
Ormai,En este punto,orˈmai
Ospedale,Hospital,os.peˈda.le
Ottimo,Óptimo,ˈɔt.ti.mo
Otto,Ocho,ˈɔt.to
Ovviamente,Obviamente,ov.vi.aˈmen.te
Pace,Paz,ˈpa.tʃe
Padre,Padre,ˈpadre
Paese,Aldea,ˈpa.e.se
Pagare,Pagar,paˈɡa.re
Paio,Par,pajo
Papa,Papa,ˈpapa
Papà,Papa,paˈpa
Pare,Parece,ˈpare
Parla,Habla,ˈparla
Parlando,Discurso,parˈlando
Parlare,Hablar,parˈlare
Parlato,Habló,parˈlato
Parli,Tu hablas,ˈpar.li
Parola,Palabra,paˈroːla
Parole,Palabras,paˈro.le
Parte,Parte,ˈparte
Parti,Activar,ˈpar.ti
Partita,Partida,parˈti.ta
Passare,Aprobar,pasˈsare
Passato,Pasado,ˈpɔssato
Passo,Paso,ˈpas.so
Paura,Miedo,ˈpaura
Pazzo,Loco,ˈpat.t͡so
Peccato,Pecado,pɛk.ka.to
Peggio,Peor,ˈpɛd͡ʒ.d͡ʒo
Pensa,Pensamiento,ˈpɛnsa
Pensando,Pensar,penˈsan.do
Pensare,Pensar,penˈsare
Pensato,Pensamiento,penˈsato
Pensavo,Pensé,penˈsavo
Pensi,Pensar,ˈpɛnsi
Penso,Creo,ˈpɛnso
Per,Para,per
Perché,Por qué,perˈkɛ
Perche',Por qué,pɛrˈke
Perchè,Por qué,pɛrˈke
Perdere,Perder,perˈdere
Perfetto,Perfecto,perˈfetto
Permesso,Permiso,perˈmes.so
Pero,Sin embargo,ˈpe.ro
Però,Sin embargo,peˈrɔ
Perso,Perdido,ˈperso
Persona,Persona,persoˈna
Personale,Personal,personaˈle
Persone,Gente,perˈsone
Peter,Péter,ˈpi.t͡ʃer
Pezzo,Pedazo,ˈpɛd.d͡zo
Piacciono,Como,ˈpjaʧ.ʧo.no
Piace,Acompaños,ˈpjaʧe
Piacere,Placer,pjaˈʧɛre
Piacerebbe,Gustaría,pja.t͡ʃeˈrɛb.be
Piano,Piso,ˈpjaːno
Piccola,Pequeño,pikˈkola
Piccolo,Pequeño,pikˈkolo
Piedi,Pies,ˈpjeːdi
Pieno,Lleno,ˈpje.no
Pistola,Pistola,piˈstola
Piu,Más,ˈpju
Piu',Más',ˈpju
Più,Más,ˈpju
Piuttosto,Bastante,ˈpju.tto.sto
Po,Poco,po
Poco,Pequeño,ˈpoko
Poi,Entonces,pɔi
Polizia,Policía,poˈlittsja
Porta,Trayera,ˈporta
Portare,Traer,porˈta.re
Portato,Transportado,porˈtato
Porto,Puerto,ˈpor.to
Posizione,Posición,po.siˈt͡sjɔ.ne
Possa,Poder,ˈpɔssa
Possiamo,Podemos,posˈsjamo
Possibile,Posible,possiˈbile
Posso,Puedo,ˈposso
Possono,Poder,posˈsono
Posto,Lugar,ˈposto
Poter,Ser capaz,poˈter
Potere,Dulces,poˈte.re
Potete,Puede,poˈte.te
Poteva,El podria,poˈte.va
Potevo,Pude,poˈte.vo
Potrebbe,Podría ser,potˈrɛbbe
Potrebbero,Podrían,po.treˈbe.ro
Potrei,Pude,poˈtrei
Potremmo,Pudimos,poˈtrem.mo
Potresti,Tú podrías,potˈrɛs.ti
Potuto,Podría,poˈtuto
Pranzo,Almuerzo,pran.t͡so
Prego,Por favor,ˈprɛɡo
Prende,Acepta,ˈprɛn.de
Prendere,Llevar,prɛnˈdɛre
Prendi,Usted toma,ˈprɛndi
Prendo,Tomo,ˈprɛn.do
Preoccuparti,Preocuparse,pre.ˌo.kuˈpar.ti
Presa,Jacobo,ˈpre.za
Presidente,Presidente,pre.siˈden.te
Preso,Tomado,ˈpreso
Presto,Pronto,ˈprɛsto
Prigione,Prisión,priˈd͡ʒjo.ne
Prima,Antes,ˈprima
Primo,Primero,ˈprimo
Probabilmente,Probablemente,probaˈbilmente
Problema,Problema,proˈblɛma
Problemi,Problemas,proˈblɛmi
Programma,Plan,proˈɡram.ma
Pronta,Listo,ˈprɔn.ta
Pronti,Listo,ˈprɔn.ti
Pronto,Listo,ˈpronto
Proposito,Objetivo,pro.poˈzi.to
Proprio,Propio,ˈproprio
Prossima,Próximo,ˈprɔs.si.ma
Prossimo,Próximo,ˈprɔs.si.mo
Prova,Ensayo,ˈprova
Provare,Intentar,proˈva.re
Provato,Intentó,proˈva.to
Prove,Evidencia,ˈpro.ve
Punto,Punto,ˈpunto
Può,Poder,pwɔ
Puo,Poder,pwo
Puoi,Puede,ˈpwɔi
Pure,Puré de patatas,ˈpure
Puttana,Puta,putˈta.na
Qua,Aquí,kwa
Qual,Eso,kwal
Qualche,Alguno,kwalˈke
Qualcosa,Algo,kwalˈkɔza
Qualcun,Alguien,kwalˈkun
Qualcuno,Alguien,kwalˈkuno
Quale,Cual,ˈkwale
Quali,Cual,ˈkwa.li
Qualsiasi,Cualquier,kwaliˈzjasi
Qualunque,Alguien,kwalˈkun.kwe
Quando,Cuando,ˈkwando
Quante,Cuánto es,ˈkwante
Quanti,Cuántos,ˈkwanti
Quanto,Cuánto,ˈkwanto
Quasi,Casi,kwaːzi
Quattro,Cuatro,ˈkwattro
Quei,Aquellos,kwei
Quella,Eso,ˈkwɛlla
Quelle,Aquellos,ˈkwelle
Quelli,Aquellos,kwɛlˈli
Quello,Eso,ˈkwɛllo
Questa,Esta,ˈkwɛsta
Queste,Estos,kwɛste
Questi,Estos,kwɛsti
Questione,Pregunta,kwes.t͡sjɔˈne
Questo,Este,kwesto
Qui,Aquí,kwi
Quindi,Por lo tanto,ˈkwindi
Ragazza,Muchacha,raˈɡattsa
Ragazze,Chicas,raˈgatse
Ragazzi,Niños,raˈgattsi
Ragazzo,Muchacho,raˈɡattso
Ragione,Razón,raˈdʒone
Rapporto,Relación,rapˈpor.to
Re,Rey,re
Realta,Realidad,re.alˈta
Realtà,Realidad,reaˈli.ta
Relazione,Relación,re.laˈt͡sjɔ.ne
Resta,Permanecer,ˈrɛs.ta
Restare,Permanecer,resˈta.re
Resto,Descansar,ˈrɛsto
Revisione,Revisión,re.viˈsjɔ.ne
Ricevuto,Recibió,ri.t͡ʃeˈvu.to
Ricorda,Recordar,riˈkor.da
Ricordi,Recuerdos,riˈkɔrdi
Ricordo,Recuerdo,riˈkordo
Riesci,Son capaces,ˈrjeʃ.t͡ʃi
Riesco,Soy capaz de,ˈrjɛsko
Riguardo,Respecto,riˈɡwar.do
Rimanere,Permanecer,ri.maˈne.re
Rispetto,Respeto,riˈspɛt.to
Risposta,Respuesta,riˈspɔs.ta
Ritardo,Demora,riˈtar.do
Riuscito,Tener éxito,ri.uˈʃi.to
Roba,Cosa,ˈrɔba
Rubato,Robado,ruˈba.to
Sa,Saber,sa
Sacco,Bolsa,ˈsakko
Sai,Sabes,sai
Sala,Habitación,ˈsa.la
Salve,Saludos,ˈsalve
Sam,Sam,sæm
Sangue,Sangre,ˈsaŋɡwe
Sanno,Ellos saben,ˈsan.no
Sapere,Saber,saˈpɛre
Saperlo,Lo sé,saˈper.lo
Sapete,Sabes,saˈpɛte
Sapeva,Él sabía,saˈpe.va
Sapevo,Yo sabía,saˈpevo
Sappia,Saber,sap.pja
Sappiamo,Sabemos,sapˈpjaːmo
Saputo,Conocido,saˈpu.to
Sara,Será,ˈsara
Sarà,Será,saˈra
Sarai,Usted será,sa.ˈra.i
Saranno,Ellos estarán,saˈran.no
Sarebbe,Sería,saˈrɛbbe
Sarei,Sería,saˈrei
Saremo,Estaremos,saˈre.mo
Saresti,Estarías,saˈrɛs.ti
Saro,Seré,ˈsa.ro
Sarò,Seré,saˈrɔ
Sbagliato,Equivocado,zbaʎˈʎa.to
Scelta,Elección,ˈʃɛl.ta
Scena,Escena,ˈʃe.na
Schifo,Asco,ʃkiː.fo
Scoperto,Descubrimiento,scoˈpɛr.to
Scritto,Escrito,ˈskri.tto
Scuola,Escuela,ˈskwɔla
Scusa,Disculpe,ˈskuza
Scusami,Disculpe,skuˈza.mi
Scusate,Disculpe,skuˈza.te
Scusi,Disculpe,skuˈzi
Se,Ser,se
Seconda,Segundo,seˈɡon.da
Secondo,Segundo,seˈɡondo
Segreto,Secreto,ˈsɛ.ɡre.to
Sei,Seis,sɛi
Sembra,Parece,ˈsɛmbra
Sembrava,Parecio,semˈbra.va
Sembri,Miras,ˈsɛm.bri
